"rank_abs_delta","parid","county","acres_2020","acres_2026","n_tcc_pixels","mean_tcc_2020","mean_tcc_2025","delta_pp","abs_delta_pp","owner_type_2020","owner_type_2026","owner_type_changed","still_in_cfp_2026"
33,"795","Keweenaw",69.83,69.83,313,41.8434504792332,75.7539936102236,33.9105431309904,33.9105431309904,"Forest Industry","Forest Industry",FALSE,TRUE
34,"34735","Houghton",116.02,116.02,520,75.2115384615385,41.5865384615385,-33.625,33.625,"Other Business","Other Business",FALSE,TRUE
35,"10416","Houghton",320,320,1443,37.8613998613999,71.3014553014553,33.4400554400554,33.4400554400554,"Forest Industry","Forest Industry",FALSE,TRUE
36,"17643","Houghton",40,40,181,42.8453038674033,76.2817679558011,33.4364640883978,33.4364640883978,"Forest Industry","Forest Industry",FALSE,TRUE
37,"16864","Keweenaw",160,160,720,81.5527777777778,48.5527777777778,-33,33,"Forest Industry","Forest Industry",FALSE,TRUE
38,"5166","Keweenaw",80,80,369,77.3306233062331,44.8780487804878,-32.4525745257453,32.4525745257453,"Forest Industry","Forest Industry",FALSE,TRUE
39,"6162","Keweenaw",40,40,179,79.1340782122905,46.877094972067,-32.2569832402235,32.2569832402235,"Forest Industry","Forest Industry",FALSE,TRUE
40,"34330","Houghton",40,40,180,71.4166666666667,39.2333333333333,-32.1833333333333,32.1833333333333,"Forest Industry","Forest Industry",FALSE,TRUE
41,"20655","Keweenaw",20,20,93,83.3870967741936,51.4408602150538,-31.9462365591398,31.9462365591398,"Forest Industry","Forest Industry",FALSE,TRUE
42,"16996","Houghton",600,600,2685,80.4353817504656,48.5567970204842,-31.8785847299814,31.8785847299814,"Other Business","Forest Industry",TRUE,TRUE
43,"5267","Keweenaw",40,40,176,47.3636363636364,78.4318181818182,31.0681818181818,31.0681818181818,"Forest Industry","Forest Industry",FALSE,TRUE
44,"15713","Houghton",83.23,83.23,329,75.2978723404255,44.4376899696049,-30.8601823708207,30.8601823708207,"Forest Industry","Forest Industry",FALSE,TRUE
45,"17620","Houghton",80,80,368,57.5054347826087,26.9266304347826,-30.5788043478261,30.5788043478261,"Forest Industry","Forest Industry",FALSE,TRUE
46,"5232","Keweenaw",160,160,711,79.4289732770745,48.873417721519,-30.5555555555556,30.5555555555556,"Forest Industry","Forest Industry",FALSE,TRUE
47,"5181","Keweenaw",80,80,363,72.0909090909091,41.6363636363636,-30.4545454545455,30.4545454545455,"Forest Industry","Forest Industry",FALSE,TRUE
48,"808","Keweenaw",40,40,185,46.3837837837838,76.7621621621622,30.3783783783784,30.3783783783784,"Forest Industry","Forest Industry",FALSE,TRUE
49,"23295","Keweenaw",40,40,178,41.685393258427,71.8932584269663,30.2078651685393,30.2078651685393,"Forest Industry","Forest Industry",FALSE,TRUE
50,"10260","Houghton",400,400,1866,78.3949624866024,48.4967845659164,-29.898177920686,29.898177920686,"Forest Industry","Forest Industry",FALSE,TRUE
51,"6113","Keweenaw",160,160,715,79.1552447552448,49.3636363636364,-29.7916083916084,29.7916083916084,"Forest Industry","Forest Industry",FALSE,TRUE
52,"31987","Houghton",40,40,183,83.6338797814208,54.2513661202186,-29.3825136612022,29.3825136612022,"Forest Industry","Forest Industry",FALSE,TRUE
53,"783","Keweenaw",40,40,179,70.4413407821229,41.0670391061453,-29.3743016759777,29.3743016759777,"Forest Industry","Forest Industry",FALSE,TRUE
54,"862","Houghton",40.01,40.01,186,52.8387096774194,81.6827956989247,28.8440860215054,28.8440860215054,"Private Individual(s)","Trust",TRUE,TRUE
55,"11971","Keweenaw",160,160,712,51.7176966292135,80.3637640449438,28.6460674157303,28.6460674157303,"Forest Industry","Forest Industry",FALSE,TRUE
56,"32925","Houghton",80,80,357,35.1960784313725,63.453781512605,28.2577030812325,28.2577030812325,"Forest Industry","Forest Industry",FALSE,TRUE
57,"874","Houghton",40,40,188,53.6063829787234,81.7553191489362,28.1489361702128,28.1489361702128,"Private Individual(s)","Trust",TRUE,TRUE
58,"10228","Houghton",160,160,711,48.7623066104079,76.9043600562588,28.1420534458509,28.1420534458509,"Forest Industry","Forest Industry",FALSE,TRUE
59,"32901","Keweenaw",40,NA,177,36.1920903954802,64.3276836158192,28.135593220339,28.135593220339,"Private Individual(s)","non-CFP in 2026",FALSE,FALSE
60,"10339","Houghton",599.64,599.64,2648,80.387084592145,52.2847432024169,-28.1023413897281,28.1023413897281,"Forest Industry","Forest Industry",FALSE,TRUE
61,"10183","Houghton",280,280,1287,53.3768453768454,81.3651903651904,27.988344988345,27.988344988345,"Forest Industry","Forest Industry",FALSE,TRUE
62,"11996","Keweenaw",320,320,1431,53.6841369671558,81.4423480083857,27.7582110412299,27.7582110412299,"Forest Industry","Other Business",TRUE,TRUE
63,"31442","Houghton",80,80,364,79.3241758241758,51.6043956043956,-27.7197802197802,27.7197802197802,"Other Business","Forest Industry",TRUE,TRUE
64,"10276","Houghton",320,320,1449,74.1021394064872,46.7888198757764,-27.3133195307108,27.3133195307108,"Forest Industry","Forest Industry",FALSE,TRUE
65,"17627","Houghton",35,35,110,49.3181818181818,76.4636363636364,27.1454545454545,27.1454545454545,"Forest Industry","Other",TRUE,TRUE
66,"12039","Keweenaw",163.85,163.85,735,48.1510204081633,75.2938775510204,27.1428571428572,27.1428571428572,"Forest Industry","Forest Industry",FALSE,TRUE
67,"11985","Keweenaw",160,160,710,55.130985915493,82.2507042253521,27.1197183098592,27.1197183098592,"Forest Industry","Other Business",TRUE,TRUE
68,"5198","Keweenaw",80,80,362,71.7016574585635,44.6933701657459,-27.0082872928177,27.0082872928177,"Forest Industry","Forest Industry",FALSE,TRUE
69,"11907","Keweenaw",40,40,179,78.586592178771,51.7541899441341,-26.8324022346369,26.8324022346369,"Forest Industry","Forest Industry",FALSE,TRUE
