"kind","from","to","n_pixels","acres","changed","min_parcel_acres"
"owner_type","Private Individual(s)","Private Individual(s)",39291,8738.11578890375,FALSE,160
"owner_type","Forest Industry","non-CFP in 2026",28848,6415.64644010831,TRUE,160
"owner_type","Other Business","Forest Industry",19028,4231.7290787015,TRUE,160
"owner_type","Forest Industry","Private Individual(s)",12091,2688.97605058755,TRUE,160
"owner_type","Forest Industry","Trust",12057,2681.41462591465,TRUE,160
"owner_type","Private Individual(s)","Other Business",8196,1822.7481358544,TRUE,160
"owner_type","Private Individual(s)","Trust",7291,1621.48080264939,TRUE,160
"owner_type","Private Individual(s)","Forest Industry",5117,1137.99441327074,TRUE,160
"owner_type","Other Business","non-CFP in 2026",4483,996.996082605572,TRUE,160
"owner_type","Other Business","Other",4398,978.092520923334,TRUE,160
"owner_type","non-CFP in 2020","Other Business",3046,677.414692754087,TRUE,160
"owner_type","Private Individual(s)","non-CFP in 2026",2540,564.88290203394,TRUE,160
"owner_type","Private Individual(s)","Private Group",736,163.68260468385,TRUE,160
"owner_type","Other","Other",734,163.237814997209,FALSE,160
"owner_type","Forest Industry","Other",723,160.791471720684,TRUE,160
"owner_type","non-CFP in 2020","Forest Industry",448,99.6328898075611,TRUE,160
"owner_type","non-CFP in 2020","Private Individual(s)",11,2.44634327652494,TRUE,160
"owner_type","Other Business","Trust",1,0.222394843320449,TRUE,160
"owner_type","Other","non-CFP in 2026",1,0.222394843320449,TRUE,160
"owner_type","Forest Industry","Forest Industry",586426,130418.118389037,FALSE,320
"owner_type","Forest Industry","Other Business",71198,15834.0680547293,TRUE,320
"owner_type","Other Business","Other Business",41829,9302.55390125105,FALSE,320
"owner_type","Forest Industry","non-CFP in 2026",18955,4215.49425513911,TRUE,320
"owner_type","Other Business","Forest Industry",11710,2604.24361528246,TRUE,320
"owner_type","Forest Industry","Trust",8552,1901.92070007648,TRUE,320
"owner_type","Private Individual(s)","Private Individual(s)",5126,1139.99596686062,FALSE,320
"owner_type","Private Individual(s)","Forest Industry",5117,1137.99441327074,TRUE,320
"owner_type","Forest Industry","Private Individual(s)",5030,1118.64606190186,TRUE,320
"owner_type","Private Individual(s)","Other Business",4974,1106.19195067591,TRUE,320
"owner_type","Private Individual(s)","Trust",3737,831.089529488517,TRUE,320
"owner_type","Other Business","Other",1912,425.218940428698,TRUE,320
"owner_type","Private Individual(s)","non-CFP in 2026",843,187.478852919138,TRUE,320
"owner_type","non-CFP in 2020","Forest Industry",434,96.5193620010748,TRUE,320
"owner_type","non-CFP in 2020","Other Business",12,2.66873811984539,TRUE,320
"owner_type","Other Business","non-CFP in 2026",11,2.44634327652494,TRUE,320
"owner_type","non-CFP in 2020","Private Individual(s)",1,0.222394843320449,TRUE,320
