"cohort","year","n_pixels","acres","pct_of_cohort"
"FI → Other Business",2015,256,56.9330798900349,0.153113710854327
"FI → Other Business",2016,565,125.653086476054,0.337926744658963
"FI → Other Business",2017,1025,227.95471440346,0.613052943850331
"FI → Other Business",2018,1593,354.274985409475,0.952773989808369
"FI → Other Business",2019,2120,471.477067839351,1.26797291801239
"FI → Other Business",2020,3268,726.786347971227,1.95459221512476
"FI → Other Business",2021,2885,641.609122979495,1.7255197492763
"FI → Other Business",2022,685,152.340467674507,0.409698796621929
"FI → Other Business",2023,0,0,0
"FI → Other Business",2024,21,4.67029170972942,0.012560109093519
"Stable Forest Industry",2001,1082,240.631220472726,0.114688380434714
"Stable Forest Industry",2002,682,151.673283144546,0.072289718536483
"Stable Forest Industry",2003,1229,273.323262440832,0.130269888682313
"Stable Forest Industry",2004,1347,299.565853952644,0.142777493942291
"Stable Forest Industry",2005,1188,264.205073864693,0.125924025837745
"Stable Forest Industry",2006,908,201.934517734967,0.0962449625089832
"Stable Forest Industry",2007,1480,329.144368114264,0.156875049023453
"Stable Forest Industry",2008,2471,549.537657844829,0.261917733876319
"Stable Forest Industry",2009,3530,785.053796921184,0.374168191251884
"Stable Forest Industry",2010,2885,641.609122979495,0.305800348940987
"Stable Forest Industry",2011,1848,410.985670456189,0.195881817969825
"Stable Forest Industry",2012,1659,368.953045068625,0.175848450222911
"Stable Forest Industry",2013,989,219.948500043924,0.104830691543375
"Stable Forest Industry",2014,2024,450.127162880588,0.214537229205046
"Stable Forest Industry",2015,1963,436.561077438041,0.208071433265566
"Stable Forest Industry",2016,3830,851.772249917319,0.405967187675557
"Stable Forest Industry",2017,3418,760.145574469294,0.36229656592038
"Stable Forest Industry",2018,5929,1318.57902604694,0.628454165986522
"Stable Forest Industry",2019,5141,1143.33188951043,0.544928802047007
"Stable Forest Industry",2020,5161,1147.77978637684,0.547048735141919
"Stable Forest Industry",2021,4933,1097.07376209977,0.522881497859928
"Stable Forest Industry",2022,10797,2401.19712333089,1.14444588128799
"Stable Forest Industry",2023,12827,2852.6586552714,1.35961909042151
"Stable Forest Industry",2024,4516,1004.33511243515,0.478680892831022
